,sp,division,effect,effect_id,treatment,unique,Survival,PC1,PC2,SSD,MRSD,FRSD,Leaf_Area,LMA,LDMC,Stomatal_Density
277,GARGUM,KDM,Edge,3,Control,KDM_EXT3_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
278,GARGUM,KT,Edge,2,Control,KT_EXT2_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
280,GARGUM,MG,Edge,2,Control,MG_EXT2_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
281,GARGUM,KDM,Edge,2,Control,KDM_EXT2_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
282,GARGUM,MG,Edge,1,Control,MG_EXT1_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
283,GARGUM,KT,Edge,1,Control,KT_EXT1_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
284,GARGUM,MG,Edge,3,Control,MG_EXT3_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
285,GARGUM,KDM,Edge,1,Control,KDM_EXT1_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
287,GARGUM,KT,Edge,3,Drought,KT_EXT3_d_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
288,GARGUM,MG,Edge,3,Drought,MG_EXT3_d_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
289,GARGUM,DG,Edge,1,Drought,DG_EXT1_d_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
292,GARGUM,KT,Edge,2,Drought,KT_EXT2_d_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
